Index,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,turnout_difference,case_pct,death_pct,Men_pct,2016_county_winner,2020_county_winner
3081,0.327,0.618,47467.0,15520.0,29346.0,0.336,0.645,55107.0,18512.0,35566.0,39.11727348,-94.76378225,8564.0,165.0,163227.0,80545.0,82682.0,28.1,41.6,22.7,0.3,3.9,0.1,98805.0,42783.0,1077.0,20192.0,382.0,21.4,31.0,23.5,21.3,23.3,12.4,19.5,81.0,13.1,1.0,1.4,0.7,2.6,21.5,73215.0,84.0,11.6,4.3,0.1,8.3,7640.0,0.05246681002530219,0.01926669780476413,0.49345390162166797,D,D
3082,0.73,0.22,16280.0,11884.0,3585.0,0.756,0.224,17162.0,12969.0,3840.0,42.70145109,-78.22199579,203.0,5.0,40886.0,22032.0,18854.0,3.3,89.9,4.8,0.4,0.4,0.0,32303.0,55459.0,2144.0,25635.0,1031.0,11.4,17.2,28.0,18.6,22.4,15.1,15.9,83.6,8.0,0.4,3.7,1.2,3.1,24.7,18372.0,75.0,18.7,6.0,0.3,6.5,882.0,0.004965024702832266,0.024630541871921183,0.5388641588807905,R,R
3083,0.674,0.288,12418.0,8375.0,3573.0,0.669,0.317,14858.0,9936.0,4704.0,41.51955538,-76.01074915,171.0,8.0,27760.0,13958.0,13802.0,1.8,95.8,0.7,0.1,0.4,0.0,22052.0,55965.0,2345.0,28046.0,775.0,10.4,14.9,25.2,17.7,24.0,14.4,18.7,82.5,8.7,0.6,1.8,0.5,6.0,25.6,13053.0,85.0,9.2,5.8,0.1,6.5,2440.0,0.0061599423631123916,0.04678362573099415,0.5028097982708933,R,R
3084,0.836,0.136,7809.0,6527.0,1061.0,0.855,0.135,8485.0,7254.0,1149.0,37.612327,-81.54511071,359.0,5.0,22130.0,10894.0,11236.0,0.3,97.4,0.9,0.0,0.3,0.0,17420.0,37644.0,3264.0,20474.0,1153.0,22.2,29.6,29.7,17.5,22.9,16.2,13.8,83.5,8.4,0.0,2.0,3.3,2.7,30.1,6325.0,75.5,22.3,2.2,0.0,11.7,676.0,0.01622232263895165,0.013927576601671309,0.4922729326705829,R,R
3085,0.758,0.209,13250.0,10044.0,2765.0,0.78,0.209,15046.0,11733.0,3143.0,36.91582035,-81.07834059,353.0,7.0,29048.0,14200.0,14848.0,1.1,94.0,3.2,0.1,0.7,0.0,23069.0,46119.0,2969.0,24879.0,1818.0,15.2,19.9,28.8,20.9,22.8,8.3,19.2,83.3,10.6,0.4,1.5,0.8,3.4,23.4,13014.0,75.2,18.9,5.8,0.2,6.2,1796.0,0.012152299641971908,0.019830028328611898,0.488846047920683,R,R
3086,0.796,0.181,17350.0,13815.0,3140.0,0.801,0.189,19794.0,15861.0,3744.0,36.16222629,-80.66239436,1102.0,9.0,37825.0,18574.0,19251.0,10.9,84.5,3.4,0.1,0.1,0.1,28352.0,41126.0,2069.0,23038.0,1388.0,17.3,28.3,27.1,15.9,20.6,13.5,22.8,81.6,12.0,0.0,0.5,1.2,4.6,26.6,15725.0,81.0,11.6,7.2,0.2,5.9,2444.0,0.029134170522141442,0.008166969147005444,0.49105089226701915,R,R
3087,0.566,0.384,52250.0,29592.0,20039.0,0.53,0.449,93467.0,49550.0,41999.0,46.45738486,-120.7380126,12003.0,273.0,248279.0,124369.0,123910.0,48.4,44.3,0.7,3.6,0.9,0.1,143229.0,47470.0,1167.0,21510.0,581.0,19.0,27.7,24.6,16.8,19.7,21.9,16.9,78.6,14.2,0.6,1.6,1.3,3.7,18.9,103990.0,79.8,14.8,5.2,0.2,7.5,41217.0,0.0483448056420398,0.02274431392151962,0.5009243633170748,R,R
3088,0.556,0.425,6058.0,3366.0,2574.0,0.562,0.425,6506.0,3658.0,2767.0,34.02824175,-89.7076205,578.0,18.0,12426.0,6101.0,6325.0,1.5,58.3,39.7,0.2,0.2,0.0,9537.0,37647.0,3944.0,20037.0,1463.0,22.6,29.1,21.7,16.2,20.4,11.6,30.1,87.9,11.1,0.1,0.4,0.4,0.2,25.4,5274.0,77.6,18.6,3.8,0.0,5.3,448.0,0.046515370996298086,0.031141868512110725,0.4909866409142121,R,R
3089,0.501,0.413,45116.0,22589.0,18635.0,0.501,0.462,57723.0,28933.0,26668.0,45.23330449,-123.3086963,1043.0,15.0,102366.0,51188.0,51178.0,15.7,77.6,0.9,0.8,1.4,0.2,73373.0,58392.0,2118.0,28540.0,1103.0,13.7,19.5,33.0,19.4,20.7,11.2,15.7,75.2,11.6,0.7,5.1,1.7,5.6,25.9,45842.0,81.2,11.8,6.8,0.2,6.6,12607.0,0.010188929918136882,0.014381591562799617,0.5000488443428482,R,R
3090,0.649,0.324,9808.0,6367.0,3181.0,0.663,0.326,11282.0,7481.0,3678.0,35.90079156,-82.31237181,340.0,1.0,17605.0,8689.0,8916.0,4.9,92.8,0.8,0.4,0.2,0.1,13911.0,37610.0,2962.0,21947.0,1275.0,19.6,24.7,31.3,19.4,19.6,13.6,16.1,81.4,9.4,0.0,2.8,1.2,5.1,28.7,7013.0,73.5,18.3,8.1,0.1,8.3,1474.0,0.019312695257029253,0.0029411764705882353,0.49355296790684466,R,R
